Editorial,ISSN,eISSN,Título,Tipo,Descuento,Promotor
ACS, ,2328-8930,Environmental Science & Technology Letters,Híbrida,100,CRUE/CSIC
ACS,0888-5885 ,1520-5045,Industrial & Engineering Chemistry Research,Híbrida,100,CRUE/CSIC
ACS,0020-1669 ,1520-510X,Inorganic Chemistry,Híbrida,100,CRUE/CSIC
ACS,,2691-3704,JACS Au1,Sólo Open Access,100. Si cuando se acepte el artículo no quedan licencias deben hacerse cargo los/as autores/as,CRUE/CSIC
ACS,0021-8561 ,1520-5118,Journal of Agricultural and Food Chemistry,Híbrida,100,CRUE/CSIC
ACS,0021-9568 ,1520-5134,Journal of Chemical & Engineering Data,Híbrida,100,CRUE/CSIC
ACS,0021-9584 ,1938-1328,Journal of Chemical Education,Híbrida,100,CRUE/CSIC
ACS,1549-9596 ,1549-960X,Journal of Chemical Information and Modeling,Híbrida,100,CRUE/CSIC
ACS,1549-9618 ,1549-9626,Journal of Chemical Theory and Computation,Híbrida,100,CRUE/CSIC
ACS,0022-2623 ,1520-4804,Journal of Medicinal Chemistry,Híbrida,100,CRUE/CSIC
ACS,0163-3864 ,1520-6025,Journal of Natural Products,Híbrida,100,CRUE/CSIC
ACS,1535-3893 ,1535-3907,Journal of Proteome Research,Híbrida,100,CRUE/CSIC
ACS,0002-7863 ,1520-5126,Journal of the American Chemical Society,Híbrida,100,CRUE/CSIC
ACS,1044-0305,1879-1123,Journal of the American Society for Mass Spectrometry,Híbrida,100,CRUE/CSIC
ACS,0743-7463 ,1520-5827,Langmuir,Híbrida,100,CRUE/CSIC
ACS,0024-9297 ,1520-5835,Macromolecules,Híbrida,100,CRUE/CSIC
ACS,1543-8384 ,1543-8392,Molecular Pharmaceutics,Híbrida,100,CRUE/CSIC
ACS,1530-6984 ,1530-6992,Nano Letters,Híbrida,100,CRUE/CSIC
ACS,1523-7060 ,1523-7052,Organic Letters,Híbrida,100,CRUE/CSIC
ACS,1083-6160 ,1520-586X,Organic Process Research & Development,Híbrida,100,CRUE/CSIC
ACS,0276-7333 ,1520-6041,Organometallics,Híbrida,100,CRUE/CSIC
ACS,,2771-9316,Precision Chemistry (new in 2024),Sólo Open Access,100. Si cuando se acepte el artículo no quedan licencias deben hacerse cargo los/as autores/as,CRUE/CSIC
ACS,0022-3263 ,1520-6904,The Journal of Organic Chemistry,Híbrida,100,CRUE/CSIC
ACS,1089-5639 ,1520-5215,The Journal of Physical Chemistry A3,Híbrida,100,CRUE/CSIC
ACS,1520-6106 ,1520-5207,The Journal of Physical Chemistry B3,Híbrida,100,CRUE/CSIC
ACS,1932-7447 ,1932-7455,The Journal of Physical Chemistry C3,Híbrida,100,CRUE/CSIC
ACS, ,1948-7185,The Journal of Physical Chemistry Letters,Híbrida,100,CRUE/CSIC
Cambridge,0924-2708,1601-5215,Acta Neuropsychiatrica,Híbrida,100,Biblioteca US
Cambridge,0962-4929,1474-0508,Acta Numerica,Híbrida,100,Biblioteca US
Cambridge,0001-8678,1475-6064,Advances in Applied Probability,Híbrida,100,Biblioteca US
Cambridge,,2326-3768,Advances in Archaeological Practice,Híbrida,100,Biblioteca US
Cambridge,0001-9240,2059-6464,Aeronautical Journal,Híbrida,100,Biblioteca US
Cambridge,0001-9720,1750-0184,Africa,Híbrida,100,Biblioteca US
Cambridge,2752-6399,2752-6402,"Africa Bibliography, Research and Documentation",Híbrida,100,Biblioteca US
Cambridge,0002-0206,1555-2462,African Studies Review,Híbrida,100,Biblioteca US
Cambridge,0144-686X,1469-1779,Ageing & Society,Híbrida,100,Biblioteca US
Cambridge,1068-2805,2372-2614,Agricultural and Resource Economics Review,Sólo Open Access,100,Biblioteca US
Cambridge,0890-0604,1469-1760,AI EDAM,Híbrida,100,Biblioteca US
Cambridge,0002-7316,2325-5064,American Antiquity,Híbrida,100,Biblioteca US
Cambridge,0002-9300,2161-7953,American Journal of International Law,Híbrida,100,Biblioteca US
Cambridge,0098-8588,2375-835X,American Journal of Law & Medicine,Híbrida,100,Biblioteca US
